"ID","biorxiv","published","title","year","journal","doi","author","author_name","author_email","author_address","hypothesis","rationale","MR_design","outcome","outcome_info","outcome_group","outcome_definition","outcome_study","outcome_age_range","outcome_sex","outcome_n_case_current","outcome_n_control_current","outcome_n_case_og","outcome_n_control_og","outcome_n_difference_reason","outcome_health_status","outcome_population","exposure","exposure_definition","exposure_study","exposure_age","exposure_sex","exposure_n_current","exposure_n_og","exposure_n_difference_reason","exposure_health_status","exposure_population","exposure_covariates_model","exposure_genotyping_dataset","exposure_independence","exposure_pleiotropy","exposure_pvalue","exposure_palindrome","exposure_proxy","exposure_HWE","IV_single","IV_multiple","IV_GRS","n_SNP_og","n_SNP_difference_reason","power_calculation","power_calculation_how","MR_method","MR_sensitivity_method1","MR_sensitivity_method2","MR_sensitivity_method3","MR_sensitivity_method4","MR_sensitivity_method5","MR_sensitivity_method_results","IV_strength","analysis_software","analysis_programme","replication_independent","replication_subsetting","multiple_testing","exposure_units","outcome_units","effect_estimate","estimate","se","ci_percent","ci_lower","ci_upper","p","adjustment_method","p_adjusted","limitations_overall","limitations_pleiotropy","limitations_population_stratification","limitations_statistical_power","notes","ID_analysis"
62,"no","yes","Body mass index and psychiatric
disorders: a Mendelian
randomization study",2016,"Scientific Reports","10.1038/srep32730","Hartwig","Fernando Pires Hartwig","fernandophartwig@gmail.com","Federal University of Pelotas, Pelotas, Brazil","Effect of BMI on psychiatric disorders","Obesity is a highly prevalent risk factor for cardiometabolic diseases. Observational studies suggest that obesity is associated with psychiatric traits, but causal inference from such studies has several limitations.","Two-sample summary-level","depression","major depressive disorder","mental health","Defined in individual GWAS","Ripke 2013 Schizophrenia European both","18+","both","34241","45604","34241","45604",NA,"Case/control","European","BMI","BMI","Locke 2015 BMI All ancestries both",NA,NA,"322154","339224","Quote European but use all ancestry data","Healthy","All ancestries","Not discussed","Not discussed","Not discussed","Not discussed","5x10-8","not discussed","LD r2 >0.8","not discussed",NA,"96",NA,"97","Only 96 genotyped","Not discussed",NA,"Inverse variance weighted","MR Egger","Weighted median",NA,NA,NA,"Consistent with main analysis","F statistic (>10)","R 3.2.4","Not discussed","Not discussed","Not discussed","Not discussed","SD","Case/Control","OR","0.98",NA,"95","0.8","1.19","0.80600000000000005","Not discussed","Not discussed","it is still possible that reverse causation occurred due to effects (not related to medication usage) of pre-clinical psychiatric disorders on weight gain if such effects exist.","FTO/MC4R may be pleiotropic with mental health disorders","European ancestry was predominant in all datasets, which increases the plausibility of the assumption that the two datasets are samples from the same or comparable populations","Although SNP-BMI associations used in the analyses were obtained from GIANT, this difference sug- gests that, for bipolar and major depressive disorders, SNP-outcome associations were too imprecise, which is likely to decrease power. Indeed, in spite of the consistency across Mendelian randomization methods and sensi- tivity analyses, causal effect estimates for major depressive disorder – especially when using MR-Egger – had wide confidence intervals and in some cases failed to achieve conventional statistical significance levels.",NA,1148
70,"no","yes","Relationship between obesity and the risk
of clinically significant depression:
Mendelian randomisation study",2014,"The British Journal of Psychiatry","10.1192/bjp.bp.113.130419","Hung","Margarita Rivera","margarita.rivera_sanchez@kcl.ac.uk","MRC Social Genetic and Developmental Psychiatry Centre, Institute of Psychiatry, King’s College London, London SE5 8AF, UK","Effect of BMI on major depression","Obesity has been shown to be associated with depression and it has been suggested that higher body mass index (BMI) increases the risk of depression and other common mental disorders. However, the causal relationship remains unclear and Mendelian randomisation, a form of instrumental variable analysis, has recently been employed to attempt to resolve this issue.","One-sample","depression","major depression","mental health","Diagnosis of major depression was ascertained using the Schedules for Clinical Assessment in Neuropsychiatry (SCAN) interview ","Current study","45.2","both","2430","792",NA,NA,NA,"Case/control","White European","BMI","BMI","Speliotes 2010 BMI Europeans both",NA,"both","3222","249796","One-sample where they got exposure SNPs from external GWAS","Healthy","European","All analyses were adjusted for the first five principal components of ancestry, which were calculated with EIGENSOFT","Not discussed","Not discussed","Repeated with just FTO variant","5x10-8","Not discussed","Of the 32 GRS SNPs, 14 were extracted from our GWAS data after applying the quality control and the other 13 were extracted using proxy SNPs. The remaining five SNPs, namely rs11847697, rs11083779, rs11165643, rs7640855 and rs1475219, were derived from the 1000 Genomes imputed data","Single nucleotide polymorphisms with minor allele frequency 51% or showing departure from Hardy– Weinberg equilibrium (P5161075) were excluded.",NA,NA,"32","32","We derived a 32-SNP additive GRS from the SNPs reported by Speliotes et al15 including rs3751812 of FTO gene.","Not discussed",NA,"Not discussed","Not discussed",NA,NA,NA,NA,"Not discussed","F statistic (>10)","Stata v. 12.1","ivprobit command","Not discussed","Not discussed","not discussed","SD","case/control","Beta","-0.02",NA,"95","-0.11","7.0000000000000007E-2","0.62","Not discussed","Not discussed","Only prospective cohort studies can provide clear temporal relationships between exposure and outcome, whereas ours is a cross-sectional study. ",NA,"Our study was entirely based on White Europeans so our results might not generalise to other ethnicities.","The issue of power. Unfortunately, no formal methods currently exist that satisfactorily address the estimation of required sample size in Mendelian randomisation studies but our current sample is of a comparable or larger size than previous Mendelian randomisation studies that have suggested a causal relationship between high BMI and depression.
",NA,1218
70,"no","yes","Relationship between obesity and the risk
of clinically significant depression:
Mendelian randomisation study",2015,"The British Journal of Psychiatry","10.1192/bjp.bp.113.130419","Hung","Margarita Rivera","margarita.rivera_sanchez@kcl.ac.uk","MRC Social Genetic and Developmental Psychiatry Centre, Institute of Psychiatry, King’s College London, London SE5 8AF, UK","Effect of BMI on major depression","Obesity has been shown to be associated with depression and it has been suggested that higher body mass index (BMI) increases the risk of depression and other common mental disorders. However, the causal relationship remains unclear and Mendelian randomisation, a form of instrumental variable analysis, has recently been employed to attempt to resolve this issue.","One-sample","depression","major depression","mental health","Diagnosis of major depression was ascertained using the Schedules for Clinical Assessment in Neuropsychiatry (SCAN) interview ","Current study","46.2","both","2430","792",NA,NA,NA,"Case/control","White European","BMI","BMI","Speliotes 2010 BMI Europeans both",NA,"both","3223","249796","One-sample where they got exposure SNPs from external GWAS","Healthy","European","All analyses were adjusted for the first five principal components of ancestry, which were calculated with EIGENSOFT","Not discussed","Not discussed","Repeated with just FTO variant","5x10-8","Not discussed","Not discussed","Single nucleotide polymorphisms with minor allele frequency 51% or showing departure from Hardy– Weinberg equilibrium (P5161075) were excluded.","1",NA,NA,"32","Only used FTO genotype ","Not discussed",NA,"Not discussed","Not discussed",NA,NA,NA,NA,"Not discussed","F statistic (>10)","Stata v. 12.1","ivprobit command","Not discussed","Not discussed","not discussed","SD","case/control","Beta","-0.03",NA,"95","-0.18","0.13","0.73","Not discussed","Not discussed","Only prospective cohort studies can provide clear temporal relationships between exposure and outcome, whereas ours is a cross-sectional study. ",NA,"Our study was entirely based on White Europeans so our results might not generalise to other ethnicities.","The issue of power. Unfortunately, no formal methods currently exist that satisfactorily address the estimation of required sample size in Mendelian randomisation studies but our current sample is of a comparable or larger size than previous Mendelian randomisation studies that have suggested a causal relationship between high BMI and depression.
",NA,1219
73,"no","yes","Body mass index and depressive symptoms: instrumental-variables regression with genetic risk score",2012,"Genes, Brain and Behavior","10.1111/j.1601-183X.2012.00846.x","Jokela","Markus Jokela","markus.jokela@helsinki.fi","Institute of Behavioural Sciences, University of Helsinki, P.O. Box 9, 00014 Helsinki, Finland","Effect of BMI (adolescent and adult) on depressive symptoms","The causal role of obesity in the development of depression remains uncertain","One-sample","depression","depressive symptoms","mental health","Depressive symptoms were assessed using a modified version of Beck’s Depression Inventory","Current study","Mean age men: 15.4, mean age women: 15.2","both","1731",NA,"1731",NA,NA,"Healthy","Finnish","BMI","adult","Speliotes 2010 BMI Europeans both","Mean age men: 26.1, mean age women: 24.8","both","1731","249796","One-sample where they got exposure SNPs from external GWAS","Healthy","European","Not discussed","HapMap2","Not discussed","Not discussed","5x10-8","Not discussed","Not discussed","Not discussed",NA,NA,"31","32","The rs12444979 SNP identified by Speliotes et al. (2010) was not included due to missing data","No",NA,"Instrumental Variable Regression","Re-ran analysis using subset of SNPs, having removed SNPs associated with potential confounders",NA,NA,NA,NA,"Consistent with main analysis","F statistic (>10)","STATA 12.1","ivreg2","Not discussed","Not discussed","Not discussed","kg/m2","Case/control","Beta","1.08",NA,"95","0.11","2.04","0.03",NA,NA,"Instrumented effects had lower precision than standard analysis","The association between BMI and depressive symptoms might arise directly due to pleiotropic genetic effects that affect both the tendency to gain weight and risk of becoming depressed","The present sample included only native Finnish individuals, so the results are unlikely to be confounded by population heterogeneity.","Not discussed",NA,1255
73,"no","yes","Body mass index and depressive symptoms: instrumental-variables regression with genetic risk score",2012,"Genes, Brain and Behavior","10.1111/j.1601-183X.2012.00846.x","Jokela","Markus Jokela","markus.jokela@helsinki.fi","Institute of Behavioural Sciences, University of Helsinki, P.O. Box 9, 00014 Helsinki, Finland","Effect of BMI (adolescent and adult) on depressive symptoms","The causal role of obesity in the development of depression remains uncertain","One-sample","depression","depressive symptoms","mental health","Depressive symptoms were assessed using a modified version of Beck’s Depression Inventory","Current study","Mean age men: 15.4, mean age women: 15.2","both","1731",NA,"1731",NA,NA,"Healthy","Finnish","BMI","adolescent","Speliotes 2010 BMI Europeans both","Mean age men: 19.9, mean age women: 19.8","both","1731","249796","One-sample where they got exposure SNPs from external GWAS","Healthy","European","Not discussed","HapMap2","Not discussed","Not discussed","5x10-8","Not discussed","Not discussed","Not discussed",NA,NA,"31","32","The rs12444979 SNP identified by Speliotes et al. (2010) was not included due to missing data","No",NA,"Instrumental Variable Regression","Re-ran analysis using subset of SNPs, having removed SNPs associated with potential confounders",NA,NA,NA,NA,"Consistent with main analysis","F statistic (>10)","STATA 12.1","ivreg2","Not discussed","Not discussed","Not discussed","kg/m2","Case/control","Beta","1.96",NA,"95","0.03","3.9","4.7E-2",NA,NA,"Instrumented effects had lower precision than standard analysis","The association between BMI and depressive symptoms might arise directly due to pleiotropic genetic effects that affect both the tendency to gain weight and risk of becoming depressed","The present sample included only native Finnish individuals, so the results are unlikely to be confounded by population heterogeneity.","Not discussed",NA,1256
116,"yes","yes","Mendelian randomization analysis using mixture models for robust and efficient estimation of causal effects",2019,"Nature Communications","10.1038/s41467-019-09432-2","Qi","Nilanjan Chatterjee","nilanjan@jhu.edu","12 Department of Biostatistics, Bloomberg School of Public Health, Johns Hopkins University, Baltimore, MD 21205, USA., Department of Oncology, School of Medicine, Johns Hopkins University, Baltimore, MD 21205, USA","Method: Effect of body mass index on coronary artery disease, breast cancer, and major depressive disorder","Method paper proposing a novel approach for robust and efficient MR analysis using large number of genetic instruments, based on a novel spike-detection algorithm under a normal-mixture model for underlying effect-size distributions.","Two-sample summary-level","depression","major depressive disorder","mental health","Defined in individual GWASs","Naomi R. Wray 2018 Major depressive disorder European both","Not discussed","both","Not discussed","Not discussed","135438","344901",NA,"Case/control","European","BMI","BMI","Yengo 2018 BMI Europeans both","18+","both","Not discussed","681275",NA,"Healthy","European","Not discussed","HapMap3","R2 < 0.1","Not discussed","5x10-8","Not discussed","Not discussed","Not discussed",NA,"971",NA,"941","Not discussed","Not discussed",NA,"Inverse variance weighted","MR Egger","Weighted median","Weighted mode",NA,NA,"Consistent with main analysis","Not discussed","Not discussed","Not discussed","Not discussed","Not discussed","Not discussed","SD","Case/control","log-OR","0.14000000000000001",NA,"95","0.09","0.2","Not discussed","Not discussed","Not discussed","Method comparison paper using BMI as example. Only discussed method not the example","Not discussed","Not discussed","Not discussed",NA,1503
116,"yes","yes","Mendelian randomization analysis using mixture models for robust and efficient estimation of causal effects",2019,"Nature Communications","10.1038/s41467-019-09432-2","Qi","Nilanjan Chatterjee","nilanjan@jhu.edu","12 Department of Biostatistics, Bloomberg School of Public Health, Johns Hopkins University, Baltimore, MD 21205, USA., Department of Oncology, School of Medicine, Johns Hopkins University, Baltimore, MD 21205, USA","Method: Effect of body mass index on coronary artery disease, breast cancer, and major depressive disorder","Method paper proposing a novel approach for robust and efficient MR analysis using large number of genetic instruments, based on a novel spike-detection algorithm under a normal-mixture model for underlying effect-size distributions.","Two-sample summary-level","depression","major depressive disorder","mental health","Defined in individual GWASs","Naomi R. Wray 2018 Major depressive disorder European both","Not discussed","both","Not discussed","Not discussed","135438","344901",NA,"Case/control","European","BMI","BMI","Yengo 2018 BMI Europeans both","18+","both","Not discussed","681275",NA,"Healthy","European","Not discussed","HapMap3","R2 < 0.1","Not discussed","5x10-8","Not discussed","Not discussed","Not discussed",NA,"971",NA,"941","Not discussed","Not discussed",NA,"MRMix","MR Egger","Weighted median","Weighted mode",NA,NA,"Consistent with main analysis","Not discussed","Not discussed","Not discussed","Not discussed","Not discussed","Not discussed","SD","Case/control","log-OR","0.34",NA,"95","0.09","0.59","Not discussed","Not discussed","Not discussed","Method comparison paper using BMI as example. Only discussed method not the example","Not discussed","Not discussed","Not discussed",NA,1506
133,"yes","no","Investigating the Association Between Body Fat and Depression via Mendelian Randomization",2019,"biorxiv","10.1101/539601","Speed","Søren Dinesen Østergaard","soeoes@rm.dk","Department of Affective Disorders, Aarhus University Hospital, Palle Juul-Jensens Boulevard 175, 8200 Aarhus N, Denmark","Effect of fat mass and non-fat mass depositions and depression","Most studies of the obesity-depression association have used body mass index as a measure of obesity. Body mass index is defined as weight (measured in kilograms) divided by the square of height (meters) and therefore does not distinguish between the contributions of fat and non-fat to body weight","Two-sample summary-level","depression","depression","mental health","major depressive disorder as defined in PGC GWAS","Naomi R. Wray 2018 Major depressive disorder European both",NA,"both","135438","344901","135438","344901",NA,"Case/control","European","BMI","BMI","Neale 2018 BMI White British adults both",NA,NA,"336107","336107",NA,"Healthy","White British",NA,"HRC + UK10K and 1KG","we firstidentify which have P<5e-8 for the measure then thin these until no pair remains within 3 centiMorgan with correlation-squared>0.05","weighted-median, MR egger, repeat IVW after excluding identified pleiotropic SNPs (don't mention how they identify individual pleiotropic SNPs)","5x10-8","Plaindormic SNPs excluded","Not discussed","Not discussed",NA,"420",NA,"420",NA,"Not discussed",NA,"Inverse variance weighted","MR Egger","Weighted median","Re-ran analysis with subset of SNPs",NA,NA,"They also re-analyse using IVW after excluding SNPs they identify as being pleiotropic at their p value threshold","r2 = 0.064","R","MendelianRandomization; ivpack","Not discussed","Not discussed","Bonferroni adjusted P value < 0.05","SD","Case/control","beta","0.17","0.03",NA,NA,NA,"9.9999999999999995E-8","Bonferroni","4.1999999999999996E-6","the UK Biobank measured fat and non-fat mass via bioelectrical impedance analysis (using a Tanita BC418MA body composition analyzer), which is considered less accurate than techniques such as dual-energy x-ray absorptiometry. However, we would expect measurement error to cause the estimates for fat and non-fat to become more similar, so the fact that we observed a significant difference indicates that the UK Biobank measurements were sufficiently accurate for our purpose. Thirdly, while we found only suggestive evidence that location of fat affects risk of depression, we recognize that the high correlations between measurements taken in the trunk, arms and legs would have reduced our power to detect significant differences. Fourthly, it is recognized that there are sex-specific psychological and physiological factors affecting the obesity-depression relationship. While we were not able to test sex differences, because the PGC did not release results from male-only and female-only GWAS of depression, this is worthy of further study","our sensitivity analyses indicate that our conclusions are not the consequence of pleiotropy","Not discussed","Not discussed",NA,1624
150,"no","yes","Using genetics to understand the causal influence of higher BMI on depression",2018,"Interntaional Journal of Epidemiology","10.1093/ije/dyy223","Tyrrell","Elina Hyppönen","Elina.Hypponen@unisa.edu.au","Australian Centre for Precision Health, University of South Australia Cancer Research Institute, Adelaide, SA, Australia","Effect of body mass index and favourable adiposity on depression","Depression is more common in obese than non-obese individuals, especially in women, but the causal relationship between obesity and depression is complex and uncertain.","One-sample","depression","depression","mental health","Individuals were considered a case if they met one or more of the following criteria: • self-reported seeing a GP for nerves/anxiety or depression AND reported at least a 2-week duration of depression or unenthusiasm; • self-reported seeing a psychiatrist for nerves/anxiety or depression AND reported at least a 2-week duration of depression or unenthusiasm; • had the following ICD-10 codes in the Hospital Episode Statistics: F33 representing recurrent major depressive disorder (MDD) or F32 representing single-episodeMDD.","Current study","mean=57.3","both","41397","246106",NA,NA,NA,"Case/control","White British","BMI","BMI","Locke 2015 BMI European adults both",NA,"both","287503","322154","One-sample","Healthy","White British","Not discussed","Not discussed","Not discussed","We also excluded variants if they were known to be classified as a secondary signal within a locus.","5x10-8","Not discussed","Not discussed","Not discussed",NA,NA,"73","77","exclusion due to potential pleiotropy","Not discussed",NA,"Two-stage-least-squares","MR Egger","Weighted median",NA,NA,NA,"Consistent with main analysis","F","Stata and R","Not discussed","Not discussed","Not discussed","No","SD",NA,"OR","1.18",NA,"95","1.09","1.28","6.9999999999999994E-5",NA,NA,"the UK Biobank participants were born between 1938 and 1971, and the causal associations may not apply to younger birth cohorts or be generalizable outside the UK. However, our results were consistent with several other studies which used data from individuals of different ages and from different European countries14,15 and PGC data excluding the UK Biobank. Second, the definition of depression was not gold standard; we used both Hospital Episode Statistic data and derived self-reported data to identify depression cases.","the BMI GRS was associated with smoking. However, this association was minimal in comparison with the strength of the association with raw BMI, and unlikely to be altering the results of this study.","Finally, the one-sample approaches in the unrelated individuals may not fully account for genetic population differences.","the favourable adiposity GRS only explains a small percentage of the variance in BMI, but the large number of depression cases in the UK Biobank and PGC data meant we had sufficient power to detect a 1.23 higher OR per 1-SD higher BMI, an effect only slightly higher than that of the observational BMI-depression association.","Unrelated individuals",1747
150,"no","yes","Using genetics to understand the causal influence of higher BMI on depression",2018,"Interntaional Journal of Epidemiology","10.1093/ije/dyy223","Tyrrell","Elina Hyppönen","Elina.Hypponen@unisa.edu.au","Australian Centre for Precision Health, University of South Australia Cancer Research Institute, Adelaide, SA, Australia","Effect of body mass index and favourable adiposity on depression","Depression is more common in obese than non-obese individuals, especially in women, but the causal relationship between obesity and depression is complex and uncertain.","One-sample","depression","depression","mental health","Individuals were considered a case if they met one or more of the following criteria: • self-reported seeing a GP for nerves/anxiety or depression AND reported at least a 2-week duration of depression or unenthusiasm; • self-reported seeing a psychiatrist for nerves/anxiety or depression AND reported at least a 2-week duration of depression or unenthusiasm; • had the following ICD-10 codes in the Hospital Episode Statistics: F33 representing recurrent major depressive disorder (MDD) or F32 representing single-episodeMDD.","Current study","mean=57.5","males","15175","127709",NA,NA,NA,"Case/control","White British","BMI","BMI","Locke 2015 BMI European adults both",NA,"both","142884","322154","One-sample","Healthy","White British","Not discussed","Not discussed","Not discussed","We also excluded variants if they were known to be classified as a secondary signal within a locus.","5x10-8","Not discussed","Not discussed","Not discussed",NA,NA,"73","77","exclusion due to potential pleiotropy","Not discussed",NA,"Two-stage-least-squares","MR Egger","Weighted median",NA,NA,NA,"Consistent with main analysis","Not discussed","Stata and R","Not discussed","Not discussed","Not discussed","No","SD",NA,"OR","1.11",NA,"95","0.98","1.26","0.09",NA,NA,"the UK Biobank participants were born between 1938 and 1971, and the causal associations may not apply to younger birth cohorts or be generalizable outside the UK. However, our results were consistent with several other studies which used data from individuals of different ages and from different European countries14,15 and PGC data excluding the UK Biobank. Second, the definition of depression was not gold standard; we used both Hospital Episode Statistic data and derived self-reported data to identify depression cases.","the BMI GRS was associated with smoking. However, this association was minimal in comparison with the strength of the association with raw BMI, and unlikely to be altering the results of this study.","Finally, the one-sample approaches in the unrelated individuals may not fully account for genetic population differences.","the favourable adiposity GRS only explains a small percentage of the variance in BMI, but the large number of depression cases in the UK Biobank and PGC data meant we had sufficient power to detect a 1.23 higher OR per 1-SD higher BMI, an effect only slightly higher than that of the observational BMI-depression association.","Unrelated males",1748
